company,ats,name
stripe,greenhouse,Stripe
airbnb,greenhouse,Airbnb
gitlab,greenhouse,GitLab
figma,greenhouse,Figma
dropbox,greenhouse,Dropbox
palantir,lever,Palantir
spotify,lever,Spotify
openai,ashby,OpenAI
ramp,ashby,Ramp
linear,ashby,Linear
notion,ashby,Notion
huggingface,workable,Hugging Face
workmotion,workable,WorkMotion
blueground,workable,Blueground
skroutz,workable,Skroutz
epignosis,workable,Epignosis
Swiggy,smartrecruiters,Swiggy
Freshworks,smartrecruiters,Freshworks
ServiceNow,smartrecruiters,ServiceNow
BoschGroup,smartrecruiters,Bosch
Experian,smartrecruiters,Experian
Canva,smartrecruiters,Canva
bunq,recruitee,bunq
channable,recruitee,Channable
effectory,recruitee,Effectory
trunkrs,recruitee,Trunkrs
helloprint,recruitee,Helloprint
